iter	RMSE
0	4563.993002
1	3614.083879
2	3015.801386
3	2629.55316
4	2397.169709
5	2249.177664
6	2132.357046
7	2078.964845
8	2042.591259
9	1991.874284
10	1970.25015
11	1954.375653
12	1932.667494
13	1910.801025
14	1891.30809
15	1867.166806
16	1858.401121
17	1852.240681
18	1833.619427
19	1822.765513
20	1810.636924
21	1803.943175
22	1796.991063
23	1788.721574
24	1784.823453
25	1773.248613
26	1764.487892
27	1754.529982
28	1751.209855
29	1741.054619
30	1723.067958
31	1714.978347
32	1709.573979
33	1697.122585
34	1688.766417
35	1686.473476
36	1680.287459
37	1670.677244
38	1662.169028
39	1651.600359
40	1643.117045
41	1635.712398
42	1632.256668
43	1627.978493
44	1620.097644
45	1611.351691
46	1609.129176
47	1599.770802
48	1590.06728
49	1588.195982
50	1576.467321
51	1570.23869
52	1562.866307
53	1560.002445
54	1552.679945
55	1547.670599
56	1538.695257
57	1531.191223
58	1523.294141
59	1520.777339
60	1517.119528
61	1511.62012
62	1503.092447
63	1495.340759
64	1491.362549
65	1488.18521
66	1481.309626
67	1473.161774
68	1469.521377
69	1463.01392
70	1458.166923
71	1456.171854
72	1452.542467
73	1449.475715
74	1447.529382
75	1445.32753
76	1441.408945
77	1433.727521
78	1429.728428
79	1421.925603
80	1418.672668
81	1415.839808
82	1413.168625
83	1406.420886
84	1402.895041
85	1399.193405
86	1396.58565
87	1392.826434
88	1391.31831
89	1388.354446
90	1384.146123
91	1379.338365
92	1375.460854
93	1372.280423
94	1368.233319
95	1367.975986
96	1366.814174
97	1363.738407
98	1360.861961
99	1358.58465
