iter	Passed	Remaining
0	72	7190
1	86	4222
2	99	3219
3	107	2583
4	116	2214
5	125	1966
6	133	1774
7	142	1634
8	150	1520
9	157	1420
10	167	1353
11	173	1273
12	182	1222
13	191	1176
14	199	1131
15	208	1093
16	215	1054
17	223	1017
18	229	978
19	236	944
20	244	918
21	250	887
22	257	860
23	265	839
24	272	817
25	280	797
26	288	781
27	297	764
28	304	746
29	310	725
30	317	705
31	324	689
32	331	673
33	337	655
34	346	642
35	353	628
36	362	616
37	370	604
38	377	590
39	385	578
40	391	563
41	399	551
42	406	539
43	413	525
44	420	514
45	428	502
46	436	491
47	442	479
48	448	466
49	454	454
50	462	444
51	469	433
52	477	423
53	483	411
54	491	402
55	498	391
56	506	382
57	513	372
58	522	363
59	533	355
60	542	346
61	548	336
62	556	327
63	565	317
64	571	307
65	579	298
66	587	289
67	593	279
68	599	269
69	607	260
70	614	251
71	622	242
72	632	234
73	639	224
74	647	215
75	654	206
76	662	197
77	669	188
78	676	179
79	684	171
80	692	162
81	701	153
82	710	145
83	720	137
84	732	129
85	743	121
86	750	112
87	758	103
88	768	94
89	775	86
90	782	77
91	789	68
92	796	59
93	803	51
94	810	42
95	818	34
96	826	25
97	840	17
98	850	8
99	859	0
